atlasId,cohortId,id,cohortName
22041,22041,22041,[TwT] new thrombocytopenia with thrombosis diagnosis (Splenic infarction)
22042,22042,22042,[TwT] new thrombocytopenia with thrombosis diagnosis (Mesenteric vein thrombosis)
22028,22028,22028,[TwT] new thrombocytopenia with thrombosis diagnosis (CSVT-Broad)
22029,22029,22029,[TwT] new thrombocytopenia with thrombosis diagnosis (CSVT-narrow)
22030,22030,22030,[TwT] new thrombocytopenia with thrombosis diagnosis (DVT-Broad)
22031,22031,22031,[TwT] new thrombocytopenia with thrombosis diagnosis (DVT-narrow)
22032,22032,22032,[TwT] new thrombocytopenia with thrombosis diagnosis (PE)
22033,22033,22033,[TwT] new thrombocytopenia with thrombosis diagnosis (Hepatic thrombosis)
22034,22034,22034,[TwT] new thrombocytopenia with thrombosis diagnosis (Splenic thrombosis)
22035,22035,22035,"[TwT] new thrombocytopenia with thrombosis diagnosis (Intraabdominal-Visceral venous, portal vein)"
22036,22036,22036,"[TwT] new thrombocytopenia with thrombosis diagnosis (Intraabdominal-vein of trunk, pelvic vein )"
22037,22037,22037,[TwT] new thrombocytopenia with thrombosis diagnosis (ischemic stroke)
22038,22038,22038,[TwT] new thrombocytopenia with thrombosis diagnosis (Hemorrhagic Stroke)
22039,22039,22039,[TwT] new thrombocytopenia with thrombosis diagnosis (Myocardial infarction)
22040,22040,22040,[TwT] new thrombocytopenia with thrombosis diagnosis (Intestinal infarction)
